gene_id,GE,Pattern_1
ENSG00000110244,1.0,21
ENSG00000204920,1.0,21
ENSG00000129226,1.0,15
ENSG00000118217,1.0,20
ENSG00000006327,1.0,24
ENSG00000180660,0.0,72
ENSG00000205495,0.0,63
ENSG00000255378,0.0,5
ENSG00000140526,1.0,6
ENSG00000242550,0.0,68
ENSG00000137944,1.0,17
ENSG00000150722,0.0,42
ENSG00000100426,0.0,18
ENSG00000100968,0.0,54
ENSG00000134242,0.0,50
ENSG00000176155,0.0,6
ENSG00000196510,1.0,17
ENSG00000166803,0.0,12
ENSG00000186635,1.0,16
ENSG00000221949,0.0,16
ENSG00000187950,0.0,63
ENSG00000185246,1.0,20
ENSG00000181722,1.0,24
ENSG00000179965,0.0,19
ENSG00000100156,0.0,59
ENSG00000186207,0.0,72
ENSG00000136295,1.0,18
ENSG00000110801,1.0,17
ENSG00000170396,0.0,57
ENSG00000182931,0.0,66
ENSG00000072195,0.0,65
ENSG00000198142,1.0,42
ENSG00000255374,0.0,4
ENSG00000203963,0.0,49
ENSG00000083454,0.0,66
ENSG00000244005,1.0,18
ENSG00000144681,0.0,62
ENSG00000174456,0.0,29
ENSG00000176428,1.0,42
ENSG00000080371,1.0,22
ENSG00000160293,1.0,25
ENSG00000180386,0.0,60
ENSG00000092470,0.0,14
ENSG00000157106,1.0,6
ENSG00000141580,1.0,10
ENSG00000182759,0.0,73
ENSG00000105369,1.0,25
ENSG00000120907,1.0,64
ENSG00000167130,1.0,15
ENSG00000164088,1.0,21
ENSG00000143801,1.0,32
ENSG00000168263,0.0,28
ENSG00000213347,1.0,22
ENSG00000003436,1.0,27
ENSG00000256713,0.0,4
ENSG00000186579,0.0,12
ENSG00000141971,1.0,17
ENSG00000140043,1.0,21
ENSG00000004961,1.0,63
ENSG00000124429,0.0,64
ENSG00000133935,1.0,14
ENSG00000173976,0.0,35
ENSG00000179562,1.0,26
ENSG00000140961,1.0,25
ENSG00000120915,1.0,47
ENSG00000135837,1.0,16
ENSG00000173011,1.0,18
ENSG00000171611,0.0,23
ENSG00000122035,1.0,30
ENSG00000157322,0.0,4
ENSG00000161217,1.0,27
ENSG00000137801,1.0,62
ENSG00000161896,0.0,41
ENSG00000058091,1.0,30
ENSG00000197256,1.0,14
ENSG00000112378,1.0,44
ENSG00000068831,1.0,65
ENSG00000170231,0.0,48
ENSG00000136813,1.0,17
ENSG00000124151,1.0,9
ENSG00000163288,0.0,70
ENSG00000161888,0.0,20
ENSG00000189068,0.0,54
ENSG00000197651,0.0,59
ENSG00000174611,0.0,69
ENSG00000118898,1.0,50
ENSG00000166455,0.0,24
ENSG00000198925,1.0,18
ENSG00000067334,1.0,18
ENSG00000138801,1.0,29
ENSG00000257591,0.0,44
ENSG00000167588,1.0,24
ENSG00000143443,1.0,16
ENSG00000161558,1.0,13
ENSG00000184486,0.0,76
ENSG00000182162,0.0,42
ENSG00000138286,1.0,9
ENSG00000107581,1.0,13
ENSG00000158528,0.0,69
ENSG00000162222,1.0,9
ENSG00000076770,1.0,51
ENSG00000109118,1.0,22
ENSG00000108830,0.0,13
ENSG00000182919,1.0,16
ENSG00000091490,1.0,20
ENSG00000156650,0.0,5
ENSG00000154451,0.0,28
ENSG00000041353,0.0,49
ENSG00000128310,0.0,45
ENSG00000107099,0.0,76
ENSG00000166797,1.0,5
ENSG00000130035,0.0,61
ENSG00000110881,0.0,63
ENSG00000204314,0.0,68
ENSG00000163126,0.0,21
ENSG00000177565,1.0,24
ENSG00000129518,1.0,2
ENSG00000011260,1.0,13
ENSG00000104361,1.0,44
ENSG00000183753,0.0,0
ENSG00000137080,0.0,56
ENSG00000151615,0.0,71
ENSG00000206199,0.0,59
ENSG00000214756,0.0,14
ENSG00000155636,0.0,19
ENSG00000185896,1.0,22
ENSG00000188938,1.0,16
ENSG00000099139,0.0,53
ENSG00000161395,1.0,22
ENSG00000232399,0.0,2
ENSG00000184261,0.0,70
ENSG00000156521,1.0,16
ENSG00000106038,0.0,70
ENSG00000148985,1.0,14
ENSG00000119760,1.0,15
ENSG00000120063,1.0,17
ENSG00000113441,0.0,16
ENSG00000167747,1.0,16
ENSG00000173153,1.0,11
ENSG00000167941,0.0,63
ENSG00000205279,0.0,64
ENSG00000188613,0.0,31
ENSG00000132821,0.0,42
ENSG00000134851,1.0,23
ENSG00000169567,1.0,12
ENSG00000100079,1.0,36
ENSG00000196526,0.0,64
ENSG00000117419,1.0,27
ENSG00000160323,1.0,45
ENSG00000163689,0.0,30
ENSG00000131591,0.0,32
ENSG00000166821,1.0,23
ENSG00000181626,0.0,42
ENSG00000143333,1.0,51
ENSG00000179178,0.0,43
ENSG00000119650,1.0,24
ENSG00000112159,1.0,11
ENSG00000119431,1.0,29
ENSG00000226174,0.0,24
ENSG00000126214,1.0,12
ENSG00000108448,1.0,15
ENSG00000119147,0.0,63
ENSG00000163380,0.0,58
ENSG00000196865,1.0,16
ENSG00000198825,0.0,17
ENSG00000182362,1.0,18
ENSG00000142538,0.0,69
ENSG00000100938,1.0,17
ENSG00000036530,0.0,40
ENSG00000171942,0.0,59
ENSG00000143816,0.0,68
ENSG00000160783,1.0,18
ENSG00000166228,1.0,17
ENSG00000100129,1.0,14
ENSG00000188452,0.0,71
ENSG00000196313,1.0,11
ENSG00000073050,1.0,15
ENSG00000157184,1.0,18
ENSG00000130733,1.0,10
ENSG00000161638,1.0,24
ENSG00000172062,1.0,1
ENSG00000173320,0.0,56
ENSG00000105821,1.0,29
ENSG00000154016,1.0,0
ENSG00000157999,0.0,9
ENSG00000176681,0.0,1
ENSG00000128283,1.0,37
ENSG00000187730,0.0,61
ENSG00000137880,1.0,17
ENSG00000062038,0.0,72
ENSG00000198901,0.0,20
ENSG00000137714,1.0,22
ENSG00000147649,1.0,8
ENSG00000127529,0.0,53
ENSG00000160951,0.0,46
ENSG00000119689,1.0,11
ENSG00000163453,1.0,70
ENSG00000166670,0.0,73
ENSG00000011021,1.0,11
ENSG00000105619,1.0,17
ENSG00000006638,1.0,55
ENSG00000109790,1.0,9
ENSG00000135469,1.0,21
ENSG00000104524,1.0,18
ENSG00000101181,1.0,12
ENSG00000242221,0.0,48
ENSG00000140932,0.0,64
ENSG00000099866,0.0,53
ENSG00000182676,0.0,9
ENSG00000131236,1.0,16
ENSG00000105650,0.0,35
ENSG00000188269,0.0,64
ENSG00000143878,1.0,25
ENSG00000188529,1.0,11
ENSG00000154309,1.0,26
ENSG00000204439,1.0,15
ENSG00000112667,1.0,29
ENSG00000169282,0.0,61
ENSG00000042781,0.0,37
ENSG00000239332,0.0,60
ENSG00000171853,1.0,15
ENSG00000083544,1.0,14
ENSG00000137077,1.0,27
ENSG00000149516,0.0,68
ENSG00000095932,1.0,51
ENSG00000138944,0.0,61
ENSG00000114388,1.0,24
ENSG00000085491,1.0,65
ENSG00000023330,1.0,13
ENSG00000132823,1.0,14
ENSG00000134627,0.0,47
ENSG00000164967,1.0,20
ENSG00000170289,0.0,67
ENSG00000177054,0.0,64
ENSG00000166796,0.0,20
ENSG00000169093,1.0,20
ENSG00000196923,1.0,22
ENSG00000100294,1.0,22
ENSG00000125821,1.0,25
ENSG00000101276,0.0,67
ENSG00000162366,0.0,45
ENSG00000100580,0.0,11
ENSG00000100448,0.0,64
ENSG00000126259,0.0,74
ENSG00000131475,1.0,25
ENSG00000187855,0.0,58
ENSG00000185479,0.0,59
ENSG00000105939,1.0,17
ENSG00000232774,0.0,27
ENSG00000168634,0.0,56
ENSG00000076706,1.0,65
ENSG00000188739,1.0,18
ENSG00000135390,1.0,29
ENSG00000151413,1.0,23
ENSG00000232838,1.0,22
ENSG00000166164,1.0,25
ENSG00000124067,1.0,15
ENSG00000104723,0.0,62
ENSG00000100593,0.0,54
ENSG00000171067,1.0,12
ENSG00000251201,1.0,18
ENSG00000196876,0.0,51
ENSG00000101448,0.0,73
ENSG00000123342,1.0,50
ENSG00000213057,0.0,28
ENSG00000173826,0.0,64
ENSG00000156050,0.0,9
ENSG00000220161,0.0,27
ENSG00000094661,0.0,69
ENSG00000145451,0.0,72
ENSG00000042062,1.0,38
ENSG00000188373,0.0,53
ENSG00000106066,1.0,61
ENSG00000139436,0.0,14
ENSG00000104970,0.0,72
ENSG00000204574,1.0,19
ENSG00000188501,0.0,35
ENSG00000143512,0.0,50
ENSG00000198870,0.0,16
ENSG00000105136,0.0,34
ENSG00000126602,1.0,13
ENSG00000133704,1.0,23
ENSG00000157350,1.0,19
ENSG00000145354,1.0,18
ENSG00000025800,1.0,24
ENSG00000163251,1.0,27
ENSG00000170382,0.0,62
ENSG00000174943,1.0,16
ENSG00000160182,0.0,68
ENSG00000164303,0.0,55
ENSG00000163171,0.0,26
ENSG00000053371,1.0,10
ENSG00000178718,0.0,58
ENSG00000183034,0.0,69
ENSG00000104131,1.0,14
ENSG00000087995,1.0,20
ENSG00000151914,1.0,69
ENSG00000072818,1.0,52
ENSG00000101079,1.0,15
ENSG00000122971,1.0,22
