gene_id,GE,Pattern_1,Pattern_2
ENSG00000169217,1.0,25,59
ENSG00000107362,0.0,14,35
ENSG00000173928,0.0,24,54
ENSG00000162078,0.0,11,88
ENSG00000087495,0.0,16,93
ENSG00000069943,1.0,16,33
ENSG00000118217,1.0,23,43
ENSG00000153237,0.0,15,58
ENSG00000186081,1.0,14,95
ENSG00000096401,1.0,20,58
ENSG00000006327,1.0,17,76
ENSG00000180660,0.0,8,68
ENSG00000124786,1.0,15,44
ENSG00000137944,1.0,12,32
ENSG00000150722,0.0,7,59
ENSG00000100426,1.0,25,65
ENSG00000081014,0.0,20,46
ENSG00000134242,0.0,13,60
ENSG00000186230,0.0,29,52
ENSG00000196510,1.0,27,54
ENSG00000100239,1.0,22,41
ENSG00000221949,0.0,12,36
ENSG00000185246,1.0,13,44
ENSG00000187950,0.0,4,57
ENSG00000181722,0.0,14,36
ENSG00000148408,0.0,24,94
ENSG00000172794,0.0,13,88
ENSG00000169684,0.0,11,59
ENSG00000196357,0.0,13,47
ENSG00000100749,0.0,5,59
ENSG00000178974,1.0,9,60
ENSG00000100156,0.0,27,85
ENSG00000147145,0.0,9,75
ENSG00000148386,0.0,17,91
ENSG00000168757,0.0,0,0
ENSG00000112175,0.0,0,40
ENSG00000110801,1.0,26,50
ENSG00000143324,1.0,5,54
ENSG00000170049,0.0,25,61
ENSG00000101230,0.0,11,68
ENSG00000146166,0.0,3,66
ENSG00000072195,0.0,26,99
ENSG00000243284,0.0,23,81
ENSG00000203963,0.0,6,74
ENSG00000132464,0.0,14,56
ENSG00000088992,0.0,15,75
ENSG00000165935,0.0,10,63
ENSG00000143437,1.0,26,44
ENSG00000121274,0.0,12,54
ENSG00000188486,1.0,24,45
ENSG00000163378,1.0,24,45
ENSG00000129744,0.0,11,77
ENSG00000133816,1.0,20,73
ENSG00000186141,1.0,27,34
ENSG00000182759,0.0,15,95
ENSG00000134901,0.0,16,55
ENSG00000105369,0.0,17,55
ENSG00000120907,0.0,17,85
ENSG00000167130,1.0,34,57
ENSG00000179021,1.0,13,38
ENSG00000150540,1.0,14,46
ENSG00000143801,1.0,21,58
ENSG00000168263,0.0,8,60
ENSG00000205221,0.0,12,61
ENSG00000171451,0.0,24,71
ENSG00000186019,1.0,16,45
ENSG00000158006,1.0,19,63
ENSG00000141971,1.0,26,55
ENSG00000100225,1.0,16,48
ENSG00000166340,1.0,32,64
ENSG00000136197,1.0,15,40
ENSG00000173976,0.0,30,71
ENSG00000116574,1.0,13,21
ENSG00000120915,0.0,14,56
ENSG00000203791,1.0,25,45
ENSG00000166501,0.0,21,92
ENSG00000169583,1.0,22,70
ENSG00000243232,1.0,13,72
ENSG00000115325,1.0,24,63
ENSG00000161217,1.0,15,43
ENSG00000137801,1.0,27,82
ENSG00000169856,0.0,23,91
ENSG00000161896,0.0,23,88
ENSG00000104901,0.0,16,76
ENSG00000143995,1.0,28,81
ENSG00000170231,0.0,13,59
ENSG00000170266,1.0,25,49
ENSG00000065883,1.0,8,37
ENSG00000164128,0.0,2,66
ENSG00000124151,1.0,9,29
ENSG00000253148,0.0,1,41
ENSG00000189068,0.0,19,86
ENSG00000197651,0.0,8,73
ENSG00000139656,0.0,20,70
ENSG00000174611,0.0,20,94
ENSG00000011201,1.0,14,88
ENSG00000166455,0.0,13,53
ENSG00000167986,1.0,26,56
ENSG00000001036,1.0,25,60
ENSG00000186860,0.0,10,84
ENSG00000138801,1.0,21,57
ENSG00000089723,0.0,21,73
ENSG00000072134,1.0,17,29
ENSG00000130775,1.0,21,58
ENSG00000051108,1.0,25,39
ENSG00000001460,0.0,15,50
ENSG00000182162,0.0,9,64
ENSG00000197111,1.0,26,31
ENSG00000158528,0.0,11,67
ENSG00000167565,1.0,30,45
ENSG00000160145,0.0,12,80
ENSG00000072849,1.0,24,53
ENSG00000179071,0.0,7,66
ENSG00000165630,1.0,18,59
