gene_id,GE,Pattern_1,Pattern_2
ENSG00000164284,1.0,35,44
ENSG00000166716,1.0,47,52
ENSG00000116857,1.0,37,44
ENSG00000132581,1.0,32,45
ENSG00000164871,0.0,11,10
ENSG00000128040,0.0,25,32
ENSG00000196793,0.0,32,38
ENSG00000176209,1.0,39,44
ENSG00000136933,1.0,35,40
ENSG00000143556,0.0,30,33
ENSG00000175311,0.0,17,30
ENSG00000079616,1.0,43,51
ENSG00000130783,0.0,36,40
ENSG00000206190,1.0,39,47
ENSG00000171428,0.0,16,20
ENSG00000006756,1.0,25,38
ENSG00000196873,0.0,0,0
ENSG00000184828,0.0,28,40
ENSG00000151498,1.0,34,42
ENSG00000130433,0.0,32,46
ENSG00000141748,0.0,36,51
ENSG00000163638,0.0,40,45
ENSG00000075407,1.0,27,39
ENSG00000133398,1.0,28,40
ENSG00000166450,0.0,26,41
ENSG00000147813,1.0,47,55
ENSG00000156395,0.0,33,43
ENSG00000182831,1.0,48,52
ENSG00000158553,0.0,30,40
ENSG00000152217,0.0,35,51
ENSG00000113575,1.0,45,49
ENSG00000100625,1.0,46,48
ENSG00000104442,1.0,34,47
ENSG00000197249,0.0,22,29
ENSG00000204592,1.0,43,49
ENSG00000104884,1.0,37,44
ENSG00000135446,1.0,39,49
ENSG00000132341,1.0,43,48
ENSG00000006638,1.0,38,47
ENSG00000112041,0.0,38,44
ENSG00000188672,0.0,16,26
ENSG00000053371,1.0,40,51
ENSG00000119242,1.0,36,54
ENSG00000228804,0.0,26,34
ENSG00000169155,1.0,39,49
ENSG00000128965,1.0,43,53
ENSG00000041982,1.0,41,47
ENSG00000092853,1.0,33,41
ENSG00000244414,0.0,6,7
ENSG00000139116,0.0,32,41
ENSG00000119616,1.0,29,40
ENSG00000095739,0.0,30,39
ENSG00000126752,0.0,8,11
ENSG00000214681,0.0,23,40
ENSG00000165675,1.0,18,25
ENSG00000091490,0.0,25,39
ENSG00000059691,1.0,25,38
ENSG00000138777,1.0,31,45
ENSG00000218357,0.0,20,25
ENSG00000095932,0.0,38,45
ENSG00000136381,1.0,43,51
ENSG00000134627,0.0,21,27
ENSG00000236981,0.0,11,18
ENSG00000157349,1.0,30,46
ENSG00000168067,1.0,49,54
ENSG00000115652,1.0,41,47
ENSG00000151615,0.0,22,39
ENSG00000183323,0.0,23,26
ENSG00000036530,0.0,28,41
ENSG00000167634,0.0,19,22
ENSG00000135723,1.0,40,47
ENSG00000164508,0.0,18,30
ENSG00000102683,0.0,15,13
ENSG00000204946,1.0,39,42
ENSG00000117305,1.0,33,42
ENSG00000198720,1.0,48,57
ENSG00000100302,0.0,35,50
ENSG00000074047,1.0,37,42
ENSG00000188171,0.0,31,42
ENSG00000196437,0.0,35,45
ENSG00000077984,0.0,34,29
ENSG00000000419,1.0,34,46
ENSG00000123575,1.0,36,46
ENSG00000143612,1.0,40,52
ENSG00000177570,0.0,27,37
ENSG00000162711,0.0,19,20
ENSG00000166126,0.0,40,53
ENSG00000091831,0.0,27,33
ENSG00000235173,1.0,2,2
ENSG00000132507,1.0,42,54
ENSG00000108518,1.0,42,47
ENSG00000116661,0.0,38,46
ENSG00000149308,1.0,38,51
ENSG00000069188,0.0,36,45
ENSG00000167552,1.0,42,46
ENSG00000167705,1.0,43,51
ENSG00000126814,1.0,37,50
ENSG00000058668,1.0,46,47
ENSG00000163755,1.0,37,48
ENSG00000136045,1.0,40,49
ENSG00000176593,0.0,41,47
ENSG00000164306,1.0,30,42
ENSG00000187605,1.0,45,57
ENSG00000151292,1.0,34,45
ENSG00000177156,1.0,41,49
ENSG00000115548,0.0,37,46
ENSG00000139971,0.0,35,40
ENSG00000256087,0.0,33,48
ENSG00000197632,1.0,33,39
ENSG00000134200,0.0,11,16
ENSG00000187950,0.0,20,30
ENSG00000012174,1.0,24,40
ENSG00000183034,0.0,32,43
ENSG00000162482,0.0,32,40
ENSG00000166123,1.0,36,46
ENSG00000215217,0.0,35,45
ENSG00000169564,1.0,43,48
ENSG00000140400,1.0,47,52
ENSG00000070886,0.0,38,42
ENSG00000130766,1.0,44,45
ENSG00000176473,1.0,30,41
ENSG00000167994,1.0,44,49
ENSG00000122641,0.0,40,39
ENSG00000171489,0.0,5,16
ENSG00000116761,0.0,31,44
ENSG00000141376,1.0,29,39
ENSG00000100351,0.0,18,19
ENSG00000162975,0.0,35,47
ENSG00000183310,0.0,2,1
ENSG00000107807,0.0,41,44
ENSG00000167114,1.0,41,47
ENSG00000112782,0.0,27,30
ENSG00000101152,1.0,44,49
ENSG00000123338,0.0,13,22
ENSG00000183778,0.0,28,44
ENSG00000112273,0.0,16,25
ENSG00000114698,1.0,34,44
ENSG00000142583,0.0,28,37
ENSG00000157005,0.0,16,26
