gene_id,GE,Pattern_1
ENSG00000162636,0.0,28
ENSG00000109118,1.0,33
ENSG00000132581,1.0,34
ENSG00000204514,0.0,43
ENSG00000164871,0.0,6
ENSG00000196793,0.0,32
ENSG00000060491,1.0,39
ENSG00000143556,0.0,21
ENSG00000103852,0.0,26
ENSG00000164897,1.0,34
ENSG00000175311,0.0,22
ENSG00000079616,1.0,37
ENSG00000130783,0.0,35
ENSG00000206190,0.0,30
ENSG00000171428,0.0,28
ENSG00000107014,0.0,15
ENSG00000151498,1.0,35
ENSG00000130433,0.0,24
ENSG00000167642,1.0,26
ENSG00000149571,1.0,28
ENSG00000196092,0.0,31
ENSG00000115808,1.0,29
ENSG00000075407,1.0,38
ENSG00000133398,1.0,37
ENSG00000166450,0.0,23
ENSG00000156395,0.0,26
ENSG00000029153,0.0,23
ENSG00000152217,0.0,25
ENSG00000113575,1.0,37
ENSG00000172352,0.0,0
ENSG00000197249,1.0,26
ENSG00000104884,1.0,37
ENSG00000204592,1.0,40
ENSG00000161649,0.0,25
ENSG00000231068,0.0,20
ENSG00000132341,1.0,34
ENSG00000112041,0.0,23
ENSG00000188672,0.0,12
ENSG00000196578,0.0,12
ENSG00000172869,0.0,24
ENSG00000053371,1.0,38
ENSG00000119242,1.0,31
ENSG00000228804,0.0,25
ENSG00000092853,0.0,15
ENSG00000229809,1.0,31
ENSG00000119616,1.0,39
ENSG00000064999,1.0,32
ENSG00000127951,0.0,33
ENSG00000180549,0.0,28
ENSG00000142700,0.0,24
ENSG00000162616,1.0,25
ENSG00000073737,0.0,30
ENSG00000128524,1.0,34
ENSG00000126752,0.0,11
ENSG00000187642,0.0,16
ENSG00000059691,0.0,38
ENSG00000095932,0.0,21
ENSG00000176834,0.0,32
ENSG00000134627,0.0,24
ENSG00000196821,1.0,36
ENSG00000083307,0.0,23
ENSG00000151615,0.0,19
ENSG00000148925,1.0,28
ENSG00000170955,0.0,22
ENSG00000059588,1.0,34
ENSG00000107796,1.0,24
ENSG00000074047,0.0,32
ENSG00000103254,1.0,31
ENSG00000177054,0.0,33
ENSG00000196437,0.0,40
ENSG00000077984,0.0,33
ENSG00000186973,1.0,29
ENSG00000177570,1.0,32
ENSG00000174950,0.0,20
ENSG00000007541,1.0,38
ENSG00000132749,0.0,28
ENSG00000119596,1.0,30
ENSG00000091831,0.0,24
