gene_id,GE
ENSG00000186094,0.0
ENSG00000169504,1.0
ENSG00000143363,1.0
ENSG00000183814,0.0
ENSG00000142611,0.0
ENSG00000121774,1.0
ENSG00000117632,1.0
ENSG00000142949,1.0
ENSG00000185104,1.0
ENSG00000116205,0.0
ENSG00000172456,0.0
ENSG00000171488,1.0
ENSG00000023909,1.0
ENSG00000154511,1.0
ENSG00000065183,1.0
ENSG00000197959,0.0
ENSG00000120332,0.0
ENSG00000057252,1.0
ENSG00000075391,1.0
ENSG00000151414,1.0
ENSG00000196482,0.0
ENSG00000042781,0.0
ENSG00000154370,1.0
ENSG00000116984,1.0
ENSG00000185420,0.0
ENSG00000162849,0.0
ENSG00000215912,0.0
ENSG00000196581,0.0
ENSG00000131697,0.0
ENSG00000171680,0.0
ENSG00000142599,1.0
ENSG00000171603,1.0
ENSG00000130939,1.0
ENSG00000171824,1.0
ENSG00000198793,1.0
ENSG00000175262,0.0
ENSG00000142655,1.0
ENSG00000116688,1.0
ENSG00000116138,1.0
ENSG00000117122,1.0
ENSG00000117115,0.0
ENSG00000117148,0.0
ENSG00000127481,1.0
ENSG00000162551,0.0
ENSG00000127483,1.0
ENSG00000117298,1.0
ENSG00000184677,1.0
ENSG00000142798,1.0
ENSG00000187942,1.0
ENSG00000169641,1.0
ENSG00000188672,0.0
ENSG00000158195,1.0
ENSG00000180198,1.0
ENSG00000060656,1.0
ENSG00000160062,1.0
ENSG00000116819,0.0
ENSG00000196182,1.0
ENSG00000163873,0.0
ENSG00000183682,0.0
ENSG00000116985,0.0
ENSG00000142945,1.0
ENSG00000162415,0.0
ENSG00000070759,0.0
ENSG00000085831,0.0
ENSG00000134744,1.0
ENSG00000154222,1.0
ENSG00000203995,0.0
ENSG00000157193,1.0
ENSG00000162390,0.0
ENSG00000215883,0.0
ENSG00000021852,0.0
ENSG00000162407,1.0
ENSG00000134709,0.0
ENSG00000132849,0.0
ENSG00000125703,1.0
ENSG00000116641,1.0
ENSG00000185483,1.0
ENSG00000162433,0.0
ENSG00000162437,0.0
ENSG00000152760,0.0
ENSG00000162594,0.0
ENSG00000172380,1.0
ENSG00000116729,1.0
ENSG00000024526,1.0
ENSG00000162620,0.0
ENSG00000116783,0.0
ENSG00000180488,0.0
ENSG00000154027,1.0
ENSG00000137960,0.0
ENSG00000117114,1.0
ENSG00000203943,0.0
ENSG00000162643,0.0
ENSG00000162642,1.0
ENSG00000171517,0.0
ENSG00000171502,0.0
ENSG00000153936,1.0
ENSG00000065243,1.0
ENSG00000162669,0.0
ENSG00000198691,0.0
ENSG00000117528,1.0
ENSG00000118733,0.0
ENSG00000237763,0.0
ENSG00000185946,0.0
ENSG00000187733,0.0
ENSG00000116266,1.0
ENSG00000162775,1.0
ENSG00000116396,0.0
ENSG00000175984,0.0
ENSG00000197323,1.0
ENSG00000188761,0.0
ENSG00000118729,0.0
ENSG00000134259,1.0
ENSG00000163399,1.0
ENSG00000198162,1.0
ENSG00000134256,0.0
ENSG00000116874,1.0
ENSG00000188610,0.0
ENSG00000178104,1.0
ENSG00000116128,1.0
ENSG00000143374,1.0
ENSG00000143367,0.0
ENSG00000160679,1.0
ENSG00000143552,0.0
ENSG00000143603,0.0
ENSG00000132718,1.0
ENSG00000116539,1.0
ENSG00000163518,0.0
ENSG00000073754,0.0
ENSG00000163565,1.0
ENSG00000177807,0.0
ENSG00000122218,1.0
ENSG00000143318,0.0
ENSG00000143228,1.0
ENSG00000143248,0.0
ENSG00000188859,0.0
ENSG00000143190,0.0
ENSG00000198771,0.0
ENSG00000143155,1.0
ENSG00000116132,1.0
ENSG00000117533,1.0
ENSG00000135870,1.0
ENSG00000117593,1.0
ENSG00000162753,0.0
ENSG00000152061,0.0
ENSG00000116161,1.0
ENSG00000116147,0.0
ENSG00000116183,0.0
ENSG00000116191,1.0
ENSG00000143322,1.0
ENSG00000116199,1.0
ENSG00000135837,1.0
ENSG00000121454,0.0
ENSG00000157064,0.0
ENSG00000135829,1.0
ENSG00000116668,0.0
ENSG00000135842,1.0
ENSG00000157181,1.0
ENSG00000143341,0.0
ENSG00000162670,0.0
ENSG00000023572,1.0
ENSG00000162687,0.0
ENSG00000134365,0.0
ENSG00000081237,0.0
ENSG00000118200,1.0
ENSG00000081248,0.0
ENSG00000143862,1.0
ENSG00000198700,1.0
ENSG00000163435,0.0
ENSG00000143858,0.0
ENSG00000117139,1.0
ENSG00000058668,1.0
ENSG00000143842,1.0
ENSG00000186007,0.0
ENSG00000163531,0.0
ENSG00000180667,0.0
ENSG00000076356,1.0
ENSG00000143469,0.0
ENSG00000143473,0.0
ENSG00000117707,0.0
ENSG00000117724,1.0
ENSG00000136636,1.0
ENSG00000118873,1.0
ENSG00000186205,0.0
ENSG00000154309,1.0
ENSG00000143786,1.0
ENSG00000182827,1.0
ENSG00000163050,1.0
ENSG00000154358,0.0
ENSG00000143740,1.0
ENSG00000181450,0.0
ENSG00000116903,0.0
ENSG00000119283,0.0
ENSG00000135749,1.0
ENSG00000173726,1.0
ENSG00000162885,1.0
ENSG00000077585,1.0
ENSG00000119285,1.0
ENSG00000116977,1.0
ENSG00000186197,0.0
ENSG00000198626,0.0
ENSG00000155816,1.0
ENSG00000162843,0.0
ENSG00000180287,0.0
ENSG00000117020,1.0
ENSG00000035687,1.0
ENSG00000162852,1.0
ENSG00000196418,0.0
ENSG00000162711,0.0
ENSG00000169224,0.0
ENSG00000187961,1.0
ENSG00000187583,1.0
ENSG00000187634,0.0
ENSG00000187642,0.0
ENSG00000078808,1.0
ENSG00000186891,0.0
ENSG00000186827,0.0
ENSG00000176022,1.0
ENSG00000162572,0.0
ENSG00000107404,1.0
ENSG00000169962,0.0
ENSG00000131584,1.0
ENSG00000169972,1.0
ENSG00000224051,1.0
ENSG00000197785,1.0
ENSG00000228594,1.0
ENSG00000160075,1.0
ENSG00000187730,0.0
ENSG00000178821,0.0
ENSG00000157911,1.0
ENSG00000157916,1.0
ENSG00000197921,0.0
ENSG00000142606,0.0
ENSG00000169717,0.0
ENSG00000078900,0.0
ENSG00000158292,1.0
ENSG00000173662,0.0
ENSG00000162413,1.0
ENSG00000007923,1.0
ENSG00000116285,1.0
ENSG00000074800,1.0
ENSG00000131686,0.0
ENSG00000197241,0.0
ENSG00000142583,0.0
ENSG00000188807,1.0
ENSG00000171608,1.0
ENSG00000173614,0.0
ENSG00000120948,1.0
ENSG00000171819,0.0
ENSG00000120942,1.0
ENSG00000204624,0.0
ENSG00000175206,0.0
ENSG00000028137,0.0
ENSG00000188984,0.0
ENSG00000157330,0.0
ENSG00000243073,0.0
ENSG00000204480,0.0
ENSG00000204478,0.0
ENSG00000204479,0.0
ENSG00000162494,0.0
ENSG00000116731,1.0
ENSG00000171729,0.0
ENSG00000132906,0.0
ENSG00000142615,0.0
ENSG00000183888,0.0
ENSG00000186510,0.0
ENSG00000142627,1.0
ENSG00000132881,1.0
ENSG00000142632,1.0
ENSG00000187144,0.0
ENSG00000117118,1.0
ENSG00000142619,0.0
ENSG00000159423,1.0
ENSG00000040487,1.0
ENSG00000127463,1.0
ENSG00000178828,0.0
ENSG00000169914,0.0
ENSG00000188784,0.0
ENSG00000127472,0.0
ENSG00000090432,1.0
ENSG00000158825,0.0
ENSG00000244038,1.0
ENSG00000076864,0.0
ENSG00000142789,0.0
ENSG00000173369,0.0
